name,rank,year,rating,n_reviews,director
Scarface,106,1983,8.2,856518,Brian De Palma
Hamilton,107,2020,8.2,99169,Thomas Kail
Incendies,108,2010,8.2,181770,Denis Villeneuve
Heat,109,1995,8.2,667026,Michael Mann
To Kill a Mockingbird,110,1962,8.2,320305,Robert Mulligan
Up,111,2009,8.2,1059420,Pete Docter
The Sting,112,1973,8.2,267670,George Roy Hill
A Separation,113,2011,8.2,247977,Asghar Farhadi
Metropolis,114,1927,8.2,177009,Fritz Lang
Taxi Driver,115,1976,8.2,851961,Martin Scorsese
L.A. Confidential,116,1997,8.2,589500,Curtis Hanson
Die Hard,117,1988,8.2,895670,John McTiernan
Snatch,118,2000,8.2,867582,Guy Ritchie
Indiana Jones and the Last Crusade,119,1989,8.2,765378,Steven Spielberg
Bicycle Thieves,120,1948,8.2,166168,Vittorio De Sica
Top Gun: Maverick,121,2022,8.2,556540,Joseph Kosinski
Like Stars on Earth,122,2007,8.2,196514,Aamir Khan
1917,123,2019,8.2,610616,Sam Mendes
Downfall,124,2004,8.2,360200,Oliver Hirschbiegel
Dangal,125,2016,8.2,195354,Nitesh Tiwari
For a Few Dollars More,126,1965,8.2,260824,Sergio Leone
Batman Begins,127,2005,8.2,1490674,Christopher Nolan
The Kid,128,1921,8.2,128368,Charles Chaplin
Some Like It Hot,129,1959,8.2,271382,Billy Wilder
The Father,130,2020,8.2,163309,Florian Zeller
All About Eve,131,1950,8.2,133145,Joseph L. Mankiewicz
The Wolf of Wall Street,132,2013,8.2,1444072,Martin Scorsese
Green Book,133,2018,8.2,509724,Peter Farrelly
John Wick: Chapter 4,134,2023,8.2,46785,Chad Stahelski
Judgment at Nuremberg,135,1961,8.2,79096,Stanley Kramer
Ran,136,1985,8.2,127944,Akira Kurosawa
Casino,137,1995,8.2,529639,Martin Scorsese
The Truman Show,138,1998,8.2,1104229,Peter Weir
There Will Be Blood,139,2007,8.2,596987,Paul Thomas Anderson
Pan's Labyrinth,140,2006,8.2,676985,Guillermo del Toro
Unforgiven,141,1992,8.2,417721,Clint Eastwood
The Sixth Sense,142,1999,8.2,1004330,M. Night Shyamalan
Shutter Island,143,2010,8.2,1343872,Martin Scorsese
A Beautiful Mind,144,2001,8.2,943950,Ron Howard
Jurassic Park,145,1993,8.1,1004807,Steven Spielberg
Yojimbo,146,1961,8.1,124906,Akira Kurosawa
The Treasure of the Sierra Madre,147,1948,8.1,126817,John Huston
Monty Python and the Holy Grail,148,1975,8.1,548318,Terry Gilliam
No Country for Old Men,149,2007,8.1,991479,Ethan Coen
The Great Escape,150,1963,8.1,247979,John Sturges
Kill Bill: Vol. 1,151,2003,8.1,1131271,Quentin Tarantino
Rashomon,152,1950,8.1,171423,Akira Kurosawa
The Thing,153,1982,8.1,433868,John Carpenter
Spider-Man: No Way Home,154,2021,8.1,781059,Jon Watts
Finding Nemo,155,2003,8.1,1057846,Andrew Stanton
The Elephant Man,156,1980,8.1,245754,David Lynch
Chinatown,157,1974,8.1,332087,Roman Polanski
Raging Bull,158,1980,8.1,359889,Martin Scorsese
V for Vendetta,159,2005,8.1,1133932,James McTeigue
Gone with the Wind,160,1939,8.1,320357,Victor Fleming
"Lock, Stock and Two Smoking Barrels",161,1998,8.1,590872,Guy Ritchie
Dial M for Murder,162,1954,8.1,179052,Alfred Hitchcock
Inside Out,163,2015,8.1,727996,Pete Docter
